category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,"Academic Information Data Education Form Name","Hozirgi OTMdagi ta'lim shakli","Ҳозирги ОТМдаги таълим шакли","Вид обучения в данном вузе","Education Form in this HEI",,,,,
app,"Academic Information Decree","Chetlashtirish buyrig'i","Четлаштириш буйруғи","Приказ об отчислении","Student expel order",,,,,
app,"Academic information for {name} created successfully","{name} uchun ilmiy ma'lumotlar muvaffaqiyatli yaratildi","{name} учун илмий маълумотлар муваффақиятли яратилди","Научная информация для {name} создана успешно","Scientific information for {name} created successfully",,,,,
app,"Academic information for {name} updated successfully","{name} ning ilmiy ma'lumotlari muvaffaqiyatli o'zgartirildi","{name} нинг илмий маълумотлари муваффақиятли ўзгартирилди","Научная информация для {name} успешно обновлена","Scientific information of {name} updated successfully",,,,,
app,"Academic Information [{id}] created successfully","Akademik ma'lumotnoma [{id}] muvaffaqiyatli yaratildi","Академик маълумотнома [{id}] муваффақиятли яратилди","Академическая справка [{id}] успешно создана","Academic Information [{id}] created successfully",,,,,
app,"Academic information of {name} deleted successfully","{name} ning ilmiy ma'lumotlari muvaffaqiyatli o'chirildi","{name} нинг илмий маълумотлари муваффақиятли ўчирилди","Научная информация для {name} успешно удалена","Scientific information of {name} deleted successfully",,,,,
app,"Academic leave","Akademik ta'til","Академик таътил","Академический отпуск",,,,,,
app,"Academic Load","Akademik yuklama","Академик юклама","Академическая нагрузка",,,,,,
app,"Academic Load Summary","Jami yuklama","Жами юклама","Общая нагрузка","Load Summary",,,,,
app,"Academic Mobile",O'tkazish,Ўтказиш,Перевод,Transfer,,,,,
app,"Academic Mobile Reason","Mobillik toifasi","Мобиллик тоифаси","Категория мобильности","Mobility Category",,,,,
app,"Academic Mobile Type","Mobillik toifasi","Мобиллик тоифаси","Категория мобильности","Mobility Category",,,,,
app,"Academic Number","Blank qarami","Бланк рақами","Номер бланка","Blank Number",,,,,
app,"Academic Rank","Ilmiy unvon","Илмий унвон","Ученое звание",,,,,,
app,"Academic record","Akademik yozuv","Академик ёзув","Академическая запись",,,,,,
app,"Academic record already has a grade.","Akademik yozuvda baho mavjud","Академик ёзувда баҳо мавжуд","В академической записи уже имеется оценка","Academic record already has a grade",,,,,
app,"Academic record for '{subject}' subject does not exist.","Talabaning '{subject}' fanidan bali kiritilmagan","Талабанинг '{subject}' фанидан бали киритилмаган","Оценка по предмету '{subject}' отсутствует","Academic record for course '{subject}' does not exist.",,,,,
app,"Academic Register Date","Qayd sanasi","Қайд санаси","Дата регистрации","Register Date",,,,,
app,"Academic Register Number","Qayd raqami","Қайд рақами","Номер регистрации","Register Number",,,,,
app,"Academic Status","Akademik daraja","Академик даража","Акад. степень","Academic Status",,,,,
app,Accept,Tasdiq,Тасдиқ,Принять,,,,,,
app,"Accept Document",Tasdiqlash,Тасдиқлаш,Подтверждение,Acceptance,,,,,
app,Accepted,Tasdiq,Тасдиқ,Принять,,,,,,
app,"Accepted Date","Qabul sanasi","Қабул санаси","Дата приема",,,,,,
app,"Accepted Status",Ruxsat,Рухсат,Разрешение,Accepted,,,,,
app,"Accept For Change",,,,,,,,,
app,"Accept For Rework",,,,,,,,,
app,"Accept Scholarship Decree",Tasdiqlash,Тасдиқлаш,Утвердить,"Accept Decree",,,,,
app,"Accept Scholarship Protocol",Tasdiqlash,Тасдиқлаш,Подтердить,Accept,,,,,
app,"Accept Type",Tayinlash,Тайинлаш,Назначить,"Accept Type",,,,,
app,Access,Ruxsat,Рухсат,Допуск,,,,,,
app,"Access Token","Bog'lanish kaliti","Боғланиш калити","Ключ доступа",,,,,,
app,"Access token renewed successfully","Yangi kirish tokeni muvaffaqiyatli yaratildi","Yangi kirish tokeni muvaffaqiyatli yaratildi","Новый токен доступа успешно создан","Access token renewed successfully",,,,,
app,Accommodation,"Yashash joyi","Яшаш жойи",Местожительство,,,,,,
app,Accomplish,Bajarish,Бажариш,Выполнение,Accomplish,,,,,
app,Accomplished,Bajarildi,Бажарилди,Выполненные,Accomplished,,,,,
app,"Account Active",Profil,Профил,Профиль,Profile,,,,,
app,accounting,Buxgalteriya,Бухгалтерия,Бухгалтерия,Accounting,,,,,
app,"Account `{name}` updated successfully.","`{name}` qayd ma'lumoti muvaffaqiyatli o'zgartirildi","`{name}` қайд маълумоти муваффақиятли ўзгартирилди","Учетная запись `{name}` успешно изменен",,,,,,
app,Accreditation,Akkreditasiya,Аккредитация,Аккредитация,,,,,,
app,"Accreditation Accepted","Akkreditasiya tasdiqlandi","Аккредитация тасдиқланди","Аккредитация одобрена",,,,,,
app,"Accreditation Info","Akkreditasiya ma'lumotlari","Аккредитация маълумотлари","Информация об аккредитации","Accreditation Info",,,,,
app,"Accumulated Points","To'plagan ball","Тўплаган балл","Набранный балл","Accumulated Points",,,,,
app,Acload,Yuklama,Юклама,Нагрузка,Acload,,,,,
app,Acload/credit,Yuklama/Kredit,Юклама/Кредит,Нагрузка/Кредит,,,,,,
app,"A Contract Type Coefficient has not been determined","Shartnoma turi koeffitsienti belgilanmagan","Шартнома тури коэффициенти белгиланмаган","Коэффициент типа контракта не определен","A Contract Type Coefficient has not been determined",,,,,
app,Action,Amal,Амал,Действия,Action,,,,,
app,Active,Faol,Фаол,Актив,,,,,,
app,"Activity Koef","Yuklama koef.","Юклама коэф.","Коэф. нагрузки","Load koef.",,,,,
app,Actual,Aktual,,,,,,,,
app,Adabiyotlar,Adabiyotlar,Адабиётлар,Литературы,Literatures,,,,,
app,Add,Qo'shish,Қўшиш,Добавить,,,,,,
app,"Add Academic Information",Qo'shish,Қўшиш,Добавить,ADD,,,,,
app,"Add Applicaion",Ariza,Ариза,Заявление,Applicaion,,,,,
app,"Add Application",Ariza,Ариза,Заявление,Applicaion,,,,,
app,"Add Call sheet","Chaqiruv qog'ozi","Чақирув қоғози",Добавить,"Add Invitation letter",,,,,
app,"Add comment to the image","Rasmga izoh qo'shish","Расмга изоҳ қўшиш","Добавить комментарий к изображению",,,,,,
app,"Add Contract Manual",Kiritish,Киритиш,Ввод,"Add Contract",,,,,
app,"Add Department Load","Yuklama shakllantirish","Юклама шакллантириш","Формирование нагрузку","Add Acadekic Load",,,,,
app,"Add Employment","Ishga joylashish","Ишга жойлашиш",Трудоустройства,"Add Employment",,,,,
app,"Add files","Fayllarni qo'shish","Файллар қўшиш","Добавить файлы","Add files",,,,,
app,"Add Foreign Certificate","Sertifikat qo'shish","Сертификат қўшиш","Добавить сертификат","Add Certificate",,,,,
app,"Add GPA",Qo'shish,Қўшиш,Добавить,"Add GPA",,,,,
app,"Add Grade",Kiritish,Киритиш,Ввод,,,,,,
app,"Add Group","Guruh qo'shish","Гуруҳ қўшиш","Добавить группы",,,,,,
app,"Add Invoice",Schet-faktura,Счет-фактура,Счет-фактура,"Add Invoice",,,,,
app,Additional,Qo'shimcha,Қўшимча,Дополнительно,,,,,,
app,"Additional Info","Qo'shimcha ma'lumotlar (Qo'shma diplom ma'lumoti)","Қўшимча маълумотлар (Қўшма диплом маълумоти)","Доп. информация (Инф. о совместном дипломе)","Additional information (Joint diploma information)",,,,,
app,"Additional information","Qo'shimcha ma'lumotlar","Қўшимча маълумотлар","Дополнительные информации","Additional Information",,,,,
app,"Add Methodical",Uslubiy,Услубий,Методическая,"Add Methodical",,,,,
app,"Add Methodical Publication Manually",Kiritish,Киритиш,"Ручной ввод","Add Publication",,,,,
app,"Add New Call Sheet","Yangi qo'shish","Янги қўшиш","Добавить новый","Add New",,,,,
app,"Add New Task","Yangi topshiriq yaratish","Янги топшириқ яратиш","Создание нового задания",,,,,,
app,"Add New Transcript","Yangi yaratish","Янги яратиш",Новый,"Add New",,,,,
app,"Add Outside Training","Tashqi yuklaama","Ташқи юклама","Внеаудиторные нагрузки","Outside Activity",,,,,
app,"Add Patient",Patent,Патент,Патент,"Add Patient",,,,,
app,"Add Payment","To'lovni kiritish","Тўловни киритиш","Ввод платежа","Add Payment",,,,,
app,"Add Project Member","Ijrochi qo'shish","Ижрочи қўшиш","Добавить исполнителя",,,,,,
app,"Add Project Meta","Loyihani to'ldirish","Лойиҳани тўлдириш","Заполнение проекта",,,,,,
app,"Add Property Publication Manually",Kiritish,Киритиш,"Ручной ввод","Add Publication",,,,,
app,"Add Ptt",Qo'shish,Қўшиш,Добавить,ADD,,,,,
app,"Add Rating Distribution","Nazoratlarni kiritish","Назорат турини киритиш","Добавить вид контроля","Add Rating Distribution",,,,,
app,"Add Resource","Resurs qo'shish","Ресурс қўшиш","Добавить ресурс",,,,,,
app,"Add Respondents","Qatnashchi qo'shish","Қатнашчи қўшиш","Добавить участника","Add Respondents",,,,,
app,"Add Responsible","Mas'ul qo'shish","Масъул қўшиш","Добавить ответственных","Add Responsible",,,,,
app,Address,Shahar,Шаҳар,Город,City,,,,,
app,"Address data not found","Manzil ma'lumoti topilmadi","Манзил маълумоти топилмади","Адресные данные не найдены","Address data not found",,,,,
app,"Address Information","Doimiy manzil ma'lumotlari","Доимий манзил маълумотлари","Информация о постоянном адресе","Permanent address information",,,,,
app,"Add Retraining Subject","Q.O'qish fanini qo'shish","Қ.Ўқиш фанини қўшиш","Добавление предмета переобучения","Add Retraining Subject",,,,,
app,"Add Scholarship Month","Stipendiya qo'shish","Стипендия қўшиш","Добавить стипендию","Add Scholarship",,,,,
app,"Add Scientific",Ilmiy,Илмий,Научная,"Add Scientific",,,,,
app,"Add Scientifical Publication Manually",Kiritish,Киритиш,"Ручной ввод","Add Publication",,,,,
app,"Add Selected",Qo'shish,Қўшиш,Добавить,,,,,,
app,"Add Signer","Imzolovchi qo'shish","Имзоловчи қўшиш","Добавить подписавшего","Add Signer",,,,,
app,"Add Student","Talaba qo'shish","Талаба қўшиш","Добавить студента","Add Student",,,,,
app,"Add students to group restricted!","Talabani biriktirish funksiyasidan foydalanish cheklangan","Талабани бириктириш функиясидан фойдаланиш чекланган","Использование функции ""Регистрация студента"" ограничено","Add students to group restricted!",,,,,
app,"Add Subject","Yuklama qo'shish","Юклама қўшиш","Добавить нагрузку","Add Subject",,,,,
app,"Add Teacher Load","O'quv yuklama","Ўқув юклама","Учебная нагрузка","Academic Load",,,,,
app,"Add Test","Test qo'shish","Тест қўшиш","Добавить тест",,,,,,
app,"Add Time Distribution","Mashg'ulotni kiritish","Машғулот турини киритиш","Добавить вид занятия","Add Time Distribution",,,,,
app,"Add Transcript",Qo'shish,Қўшиш,Добавить,"Add Transcript",,,,,
app,Admin,Admin,Админ,Админ,,,,,,
app,Administrator,Administrator,Администратор,Администратор,,,,,,
app,"Administrator `{name}` created successfully.","Administrator `{name}` muvaffaqiyatli yaratildi","Администратор `{name}` муваффақиятли яратилди","Администратор `{name}` создан успешно",,,,,,
app,"Administrator `{name}` deleted successfully.","Administrator `{name}` muvaffaqiyatli o'chirildi","Администратор `{name}` муваффақиятли ўчирилди","Администратор `{name}` успешно удален",,,,,,
app,"Administrator `{name}` updated successfully.","Administrator `{name}` muvaffaqiyatli o'zgartirildi","Администратор `{name}` муваффақиятли ўзгартирилди","Администратор `{name}` успешно обновлен",,,,,,
app,"Administrator Roles","Administrator Rollari","Администратор Роллари","Роли Администратора",,,,,,
app,Administrators,Administratorlar,Администраторлар,Администраторы,,,,,,
app,"Admin Name","Admin nomi","Админ номи","Имя админа","Admin Name",,,,,
app,"Admin with the same login as in {client} account not found","Bunday loginga ega xodim HEMIS tizimida topilmadi","Бундай логинга эга ходим HEMIS тизимида топилмади","Сотрудник с таким логином не найден в системе HEMIS","Employee with this login was not found in the HEMIS system",,,,,
app,"Admission Information","Qabul ma'lumotlari","Қабул маълумотлари","Информация о приеме","Admission Information",,,,,
app,"Admission Quota","Qabul kvotasi","Қабул квотаси","Приемная квота",,,,,,
app,"Admission quota `{id}` created successfully.","`{id}` raqamli qabul kvotasi muvaffaqiyatli yaratildi","`{id}` рақамли қабул квотаси муваффақиятли яратилди","Квота приема `{id}` успешно создана",,,,,,
app,"Admission quota `{id}` deleted successfully","Qabul kvotasi `{id}` muvaffaqiyatli o'chirildi","Қабул квотаси `{id}` муваффақиятли ўчирилди","Квота приема `{id}` успешно удалена","Admission quota `{id}` deleted successfully",,,,,
app,"Admission quota `{id}` updated successfully.","Qabul kvotasi `{id}` muvaffaqiyatli o'zgartirildi","Қабул квотаси `{id}` муваффақиятли ўзгартирилди","Квота приема `{id}` успешно обновлена","Admission quota `{id}` updated successfully.",,,,,
app,"Advisor Name","Maslahatchi F.I.SH.","Маслаҳатчи Ф.И.Ш.","Ф.И.О. консультанта",,,,,,
app,"Advisor Work","Maslahatchi ish joyi","Маслаҳатчи иш жойи","Место работы консультанта",,,,,,
app,"Agreement Type","Mas'ul vakolati","Масъул ваколати",Ответственность,Responsibility,,,,,
app,"Akademik ta’til","Akademik ta’til","Академик таътил","Академический отпуск","Academic leave",,,,,
app,"Akademik ta‘til berish sabablari","Akademik ta‘til berish sabablari","Академик таътил бериш сабаблари","Причины академического отпуска",,,,,,
app,"Akademik ta'til sababini tanlang","Akademik ta'til sababini tanlang","Академик таътил сабабини танланг","Выберите причину академ. отпуска",,,,,,
app,Akademiya,Akademiya,Академия,Академия,Academy,,,,,
app,"Akademiya boshlig'i:","Akademiya boshlig'i:",,,"Head of the Academy:",,,,,
app,"AKT bilan jixozlanish","AKT bilan jixozlanish","АКТ билан жиҳозланиш",ИКТ-оборудование,"ICT equipment",,,,,
app,"Aktiv seanslar mavjud emas","Aktiv seanslar mavjud emas","Актив сеанслар мавжуд эмас","Активные сеансы недоступны","Active sessions are not available",,,,,
app,"AKT qurilmalari turlari","AKT qurilmalari turlari","АКТ қурилмалари турлари","Типы устройств ИКТ",,,,,,
app,"AKT qurilmalari turlarining nomlari","AKT qurilmalari turlarining nomlari","АКТ қурилмалари турларининг номлари","Названия типов устройств ИКТ",,,,,,
app,All,Jami,Жами,Всего,All,,,,,
app,"All Additional","Jami qo'shimcha yuklama","Жами қўшимча юклама","Жами қўшимча юклама",,,,,,
app,"All Education Year","Umumiy GPA","Умумий GPA","Общая GPA","Total GPA",,,,,
app,"All generic reports data",,,,,,,,,
app,"All Main","Jami asosiy yuklama","Жами асосий юклама","Жами асосий юклама",,,,,,
app,"All Messages","Barcha xabarlar","Барча хабарлар","Все сообщения",,,,,,
app,"Allow calculate GPA for Credit Marking System",,,,,,,,,
app,"Allow calculate GPA for Five Marking System",,,,,,,,,
app,"Allow update accreditation points","Akkreditatsiya baholarini kiritishni cheklash","Акредитация баҳоларини киритишни чеклаш","Ограничение ввода оценки аккредитации","Allow update accreditation points",,,,,
app,"All Records","Barcha fanlar","Барча фанлар","Все предметы","All Records",,,,,
app,"All responsible employee should approve the document","Barcha mas'ul xodimlar hujjatni tasdiqlashi kerak","Барча масъул ходимлар ҳужжатни тасдиқлаши керак","Документ должен быть одобрен всеми ответственными сотрудниками","All responsible employee should approve the document",,,,,
app,"All semester not accepted for this curriculum `{name}`.","`{name}` o'quv rejasining barcha semestrlari mahkamlanmagan","`{name}` ўқув режасининг барча семестрлари маҳкамланмаган","Не все семестры учебного плана `{name}` фиксированы",,,,,,
app,"All Student","Jami talaba","Жами талаба","Всего студенты",,,,,,
app,"All Summary","Ishga joylashgan bitiruvchilar","Ишга жойлашган битирувчилар","Кол-во трудоустроенных выпускников","Number of employed graduates",,,,,
app,"All Users",Barchasi,Барчаси,Все,"All Users",,,,,
app,"Amal qilish muddati berilgan sanadan katta bo'lishi kerak","Amal qilish muddati berilgan sanadan katta bo'lishi kerak","Амал қилиш муддати берилган санадан катта бўлиши керак","Дата истечения срока должна быть больше указанной даты","The expiration date must be greater than the given date",,,,,
app,"Amount Coefficient does not fall into the limit","Koeffitsient chegaraga tushmaydi","Коэффициент чегарага тушмайди","Коэффициент не входит в предел","Coefficient does not fall into the limit",,,,,
app,"Amount Coefficient has exceeded the limit","Koeffisiyent chegaradan oshib ketdi","Коэффициент чегарадан ошиб кетди","Коэффициент превысил лимит","Coefficient has exceeded the limit",,,,,
app,"Amount of minimum wage",Summa,Сумма,Сумма,,,,,,
app,"Amount of Scholarship","Stipendiya qiymati","Стипендия қиймати","Сумма стипендии",,,,,,
app,"Amount of Scholarship [{code}] created successfully","Stipendiya turi [{code}] muvaffaqiyatli yaratildi","Стипендия тури [{code}] муваффақиятли яратилди","Вид стипендии [{code}] успешно создан",,,,,,
app,"Amount of Scholarship [{code}] is deleted successfully","Stipendiya turi [{code}] muvaffaqiyatli o'chirildi","Стипендия тури [{code}] муваффақиятли ўчирилди","Вид стипендии [{code}] успешно удален",,,,,,
app,"Amount of Scholarship [{code}] updated successfully","Stipendiya turi [{code}] muvaffaqiyatli o'zgartirildi","Стипендия тури [{code}] муваффақиятли ўзгартирилди","Вид стипендии [{code}] успешно обновлен",,,,,,
app,"Amount Сoeffic","Bazaviy stipendiya koeffisiyenti","Базавий стипендия коэффициенти","Коэффициент базовой стипендии","Basic Scholarship Coefficient",,,,,
app,"An appeals grade is already included for this mastery indicator.","Bu fanning apellyatsiya bahosi allaqachon kiritilgan, qayta kiritish mumkin emas","Бу фаннинг аппеляция баҳоси аллақачон киритилган, қайта киритиш мумкин эмас","Оценка по этому предмету уже введена, повторная запись не допускается","The grade for this subject has already been entered, re-entry is not allowed",,,,,
app,"An appropriate coefficient has not been determined for this specialty","Ushbu mutaxassislik uchun shartnoma koeffisientini aniqlab bo'lmadi","Ушбу мутахассислик учун шартнома коэффициентини аниқлаб бўлмади","Коэффициент контракта для данной специальности не определен","Contract Coefficient has not been determined for this specialty",,,,,
app,"An appropriate summa has not been determined for this specialty","Ushbu mutaxassislik uchun shartnomaning bazaviy summasi kiritilmagan","Ушбу мутахассислик учун шартноманинг базавий суммаси киритилмаган","Базовая сумма контракта не определена по данной специальности","Base sum of the contract is not determined for this specialty",,,,,
app,"An Foreign Contract Summa has not been determined for this specialty","Ushbu mutaxassislik bo'yicha xorijiy shartnoma summasi belgilanmagan","Ушбу мутахассислик бўйича хорижий шартнома суммаси белгиланмаган","Сумма контракта для иностранного студента по данной специальности не определена","Foreign Contract sum has not been determined for this specialty",,,,,
app,"An Increased Contract Coefficient has not been determined for this specialty","Ushbu mutaxassislik uchun oshirilgan shartnoma koeffisientini aniqlab bo'lmadi","Ушбу мутахассислик учун оширилган шартнома коэффициентини аниқлаб бўлмади","Коэффициент повышенного контракта для данной специальности не определен","An Increased Contract Coefficient has not been determined for this specialty",,,,,
app,Announcement,E'lonlar,Эълонлар,Объявления,Announcements,,,,,
app,Announcements,E'lonlar,Эълонлар,Объявления,Announcements,,,,,
app,"Announcing of subject choice","Fan tanlovini e'lon qilish","Фан танловини эълон қилиш","Объявление о выборе предмета","Announcing of course selection",,,,,
app,"Announcing of subject choice status is enabled","Fan tanlovi e'loni faol holatda bo'lganligi uchun tasdiqni o'chirolmaysiz","Фан танлови эълони фаол ҳолатда бўлганлиги учун тасдиқни ўчиролмайсиз","Вы не можете отключить элемент из-за активного состояния объявления о выборе курса","You cannot disable an item due to the active state of the course selection announcement",,,,,
app,"Another teacher is already attached to the selected group","Tanlangan guruhga allaqachon boshqa o'qituvchi biriktirilgan","Танланган гуруҳга аллақачон бошқа ўқитувчи бириктирилган","К данной группе уже прикреплен другой преподаватель","Another teacher is already attached to the selected group",,,,,
app,Answer,Javob,Жавоб,Ответ,,,,,,
app,"Answer Poll",Qatnashish,Қатнашиш,Участвовать,"Answer Poll",,,,,
app,Answers,Javoblar,Жавоблар,Ответы,,,,,,
app,"API Developer Toolbar","API Developer uskunalari","API Developer ускуналари","Инструменты API Developer","API Developer Toolbar",,,,,
app,"API Key for EduImzo API","EduImzo API uchun API Kalit","EduImzo API учун API Калит","API Ключ для EduImzo API","API Key for EduImzo API",,,,,
app,"API Key for WebImzo API","WebImzo API uchun API kalit","WebImzo API учун API калит","API ключ для WebImzo API","API Key for WebImzo API",,,,,
app,"Appeal Sync","Akademik yozuv","Академик ёзув","Академ. запись","Appeal Sync",,,,,
app,"Application Count","Ariza soni","Ариза сони","Количество заявок","Application Count",,,,,
app,"Application Date","Hujjat sanasi","Ҳужжат санаси","Дата документа","Application Date",,,,,
app,"Application File","Ilova fayli","Илова файли","Файл приложения","Application File",,,,,
app,"Application ID","Hujjat raqami","Ҳужжат рақами","Номер документа","Application ID",,,,,
app,Apply,Saqlash,Сақлаш,Применять,Apply,,,,,
app,"Apply Date",Sana,Сана,Дата,,,,,,
app,"Apply Decree",Biriktirish,Бириктириш,Закрепить,"Apply Order",,,,,
app,"Apply Disciplinary","Chora qo'llash","Чора қўллаш",Применить,"Apply Disciplinary",,,,,
app,"Apply to Decree",Biriktirish,Бириктириш,Закрепить,"Apply to Decree",,,,,
app,Approve,Tasdiqlash,Тасдиқлаш,Утвердить,Approve,,,,,
app,"Approved Date","Tasdiqlangan sanasi","Тасдиқланган санаси","Дата утверждения",,,,,,
app,"App Version","Dastur versiyasi","Дастур версияси","Версия программы",,,,,,
app,Aprel,Aprel,Апрель,Апрель,April,,,,,
app,April,Aprel,Апрель,Апрель,April,,,,,
app,Archive,"Akademik arxiv","Академик архив","Академический архив",,,,,,
app,"Archive Academic Information","Akad. ma'lumotnoma","Акад. маълумотнома","Академическая справка","Academic Information",,,,,
app,"Archive Academic Information Data","Akad. ma'lumotnoma","Акад. маълумотнома","Академ. справка","Academic Transcript",,,,,
app,"Archive Academic Information data edit","Akademik ma'lumotnomani o'zgartirish","Академик маълумотномани ўзгартириш","Изменить академическую справку","Academic Information Edit",,,,,
app,"Archive Academic Information Data Edit","Akademik ma'lumotnoma qo'shish","Академик маълумотнома қўшиш","Добавить академическую справку","Academic Information Edit",,,,,
app,"Archive Academic Information Edit","Akademik axborotlarni o'zgartirish","Академик ахборотларни ўзгартириш","Редактирование академической информации","Academic Information Edit",,,,,
app,"Archive Academic Record","Akademik yozuv","Академик ёзув","Академическая запись",,,,,,
app,"Archive Academic Record View","Baholarni ko'rish","Баҳоларни кўриш","Просмотр оценок",,,,,,
app,"Archive Academic Sheet","O'quv varaqa","Ўқув варақа","Учебный лист","Academic Sheet",,,,,
app,"Archive Accreditation",Akkreditasiya,Аккредитация,Аккредитация,,,,,,
app,"Archive Accreditation View","Akkreditasiyani ko'rish","Аккредитацияни кўриш","Просмотр аккредитации",,,,,,
app,"Archive Batch Rate","Diplom ballari","Диплом баллари","Оценки диплома","Diploma marks",,,,,
app,"Archive Call Sheet","Chaqiruv qog'ozi","Чақирув қоғози","Пригласительный лист","Invitation letter",,,,,
app,"Archive Call Sheet Add","Chaqiruv qog'ozini qo'shish","Чақирув қоғозини қўшиш","Добавить лист уведомления","Add notification sheet",,,,,
app,"Archive Call sheet Edit","Chaqiruv qog'ozini tahrirlash","Чақирув қоғозини таҳрирлаш","Ред. пригласительного листа","Invitation letter Edit",,,,,
app,"Archive Call Sheet Edit","Chaqiruv qog'ozi qo'shish","Чақирув қоғози қўшиш","Добавить Пригласительный лист","Add Invitation letter",,,,,
app,"Archive Certificate","Talaba guvohnomasi","Талаба гувоҳномаси","Студенческий билет","Student ID card",,,,,
app,"Archive Certificate Committee","DAK ro'yxati","ДАК рўйхати","Список ГЭК",,,,,,
app,"Archive Certificate Committee Edit","DAK ro'yxatini tahrirlash","ДАК рўйхатини таҳрирлаш","Редактирование списка ГЭК",,,,,,
app,"Archive Certificate Committee Member","DAK a'zosi","ДАК аъзоси","Член ГЭК",,,,,,
app,"Archive Certificate Set","Talaba guvohnomasini qo'shish","Талаба гувоҳномасини қўшиш","Добавить студенческий билет","Add student ID card",,,,,
app,"Archive Circulation Sheet","Aylanma varaqa","Айланма варақа","Обходной лист","Circulation Sheet",,,,,
app,"Archive Circulation Sheet Check","Bitiruv varag'i","Битирув варағи","Выпускной лист","Graduation sheet",,,,,
app,"Archive Circulation Sheet Set","Aylanma varaqa qoshish","Айланма варақа қўшиш","Добавить обходной лист","Add Circulation Sheet",,,,,
app,Archived,Arxiv,Архив,Архив,Archived,,,,,
app,"Archive Diploma","Diplom berish","Диплом бериш","Выдача диплома","Diploma issue",,,,,
app,"Archive Diploma Accept","Diplom tasdiqlandi","Диплом тасдиқланди","Диплом утвержден","Diploma Accepted",,,,,
app,"Archive Diploma Application Print","Ilovani chop etish","Иловани чоп этиш","Печать приложение","Statement Print",,,,,
app,"Archive Diploma Blank","Diplom blanki","Диплом бланки","Бланки диплома","Diploma Blank",,,,,
app,"Archive Diploma Create","Diplom yaratish","Диплом яратиш","Создание диплома","Diploma Create",,,,,
app,"Archive Diploma Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Archive Diploma Duplicate","Diplom dublikatini yaratish","Диплом дубликатини яратиш","Создание дубликата диплома","Diploma duplicate create",,,,,
